Index,X,Y,Z,Target_X,Target_Y,Target_Z
105,-0.310467,-0.0209801,0.638541,-0.3044,-0.0149,0.6996
106,-0.31042,-0.0209333,0.639011,-0.3044,-0.0149,0.6996
107,-0.310374,-0.0208869,0.639476,-0.3044,-0.0149,0.6996
108,-0.310328,-0.0208411,0.639937,-0.3044,-0.0149,0.6996
109,-0.310283,-0.0207958,0.640392,-0.3044,-0.0149,0.6996
110,-0.310238,-0.020751,0.640842,-0.3044,-0.0149,0.6996
111,-0.310194,-0.0207067,0.641287,-0.3044,-0.0149,0.6996
112,-0.31015,-0.0206628,0.641727,-0.3044,-0.0149,0.6996
113,-0.310106,-0.0206193,0.642164,-0.3044,-0.0149,0.6996
114,-0.310063,-0.0205762,0.642597,-0.3044,-0.0149,0.6996
115,-0.310021,-0.0205334,0.643027,-0.3044,-0.0149,0.6996
116,-0.309978,-0.0204911,0.643452,-0.3044,-0.0149,0.6996
117,-0.309936,-0.0204491,0.643874,-0.3044,-0.0149,0.6996
118,-0.309895,-0.0204074,0.644292,-0.3044,-0.0149,0.6996
119,-0.309854,-0.0203662,0.644706,-0.3044,-0.0149,0.6996
120,-0.309813,-0.0203253,0.645117,-0.3044,-0.0149,0.6996
121,-0.309773,-0.0202848,0.645524,-0.3044,-0.0149,0.6996
122,-0.309732,-0.0202445,0.645928,-0.3044,-0.0149,0.6996
123,-0.309693,-0.0202046,0.646329,-0.3044,-0.0149,0.6996
124,-0.309653,-0.0201649,0.646727,-0.3044,-0.0149,0.6996
125,-0.309614,-0.0201255,0.647123,-0.3044,-0.0149,0.6996
126,-0.309575,-0.0200863,0.647517,-0.3044,-0.0149,0.6996
127,-0.309536,-0.0200474,0.647908,-0.3044,-0.0149,0.6996
128,-0.309498,-0.0200087,0.648296,-0.3044,-0.0149,0.6996
129,-0.309459,-0.0199703,0.648681,-0.3044,-0.0149,0.6996
130,-0.309421,-0.0199322,0.649065,-0.3044,-0.0149,0.6996
131,-0.309384,-0.0198943,0.649445,-0.3044,-0.0149,0.6996
132,-0.309346,-0.0198566,0.649823,-0.3044,-0.0149,0.6996
133,-0.309309,-0.0198192,0.6502,-0.3044,-0.0149,0.6996
134,-0.309272,-0.0197818,0.650574,-0.3044,-0.0149,0.6996
135,-0.309235,-0.0197447,0.650947,-0.3044,-0.0149,0.6996
136,-0.309198,-0.0197077,0.651318,-0.3044,-0.0149,0.6996
137,-0.309161,-0.019671,0.651688,-0.3044,-0.0149,0.6996
138,-0.309125,-0.0196344,0.652055,-0.3044,-0.0149,0.6996
139,-0.309089,-0.0195979,0.652421,-0.3044,-0.0149,0.6996
140,-0.309052,-0.0195617,0.652785,-0.3044,-0.0149,0.6996
141,-0.309017,-0.0195256,0.653147,-0.3044,-0.0149,0.6996
142,-0.308981,-0.0194897,0.653508,-0.3044,-0.0149,0.6996
143,-0.308945,-0.0194539,0.653868,-0.3044,-0.0149,0.6996
144,-0.30891,-0.0194182,0.654226,-0.3044,-0.0149,0.6996
145,-0.308874,-0.0193827,0.654583,-0.3044,-0.0149,0.6996
146,-0.308839,-0.0193472,0.654939,-0.3044,-0.0149,0.6996
147,-0.308804,-0.0193119,0.655293,-0.3044,-0.0149,0.6996
148,-0.308769,-0.0192767,0.655647,-0.3044,-0.0149,0.6996
149,-0.308734,-0.0192417,0.655999,-0.3044,-0.0149,0.6996
150,-0.308699,-0.0192067,0.65635,-0.3044,-0.0149,0.6996
151,-0.308664,-0.0191719,0.6567,-0.3044,-0.0149,0.6996
152,-0.30863,-0.0191372,0.657048,-0.3044,-0.0149,0.6996
153,-0.308595,-0.0191026,0.657396,-0.3044,-0.0149,0.6996
154,-0.308561,-0.019068,0.657743,-0.3044,-0.0149,0.6996
155,-0.308527,-0.0190336,0.658089,-0.3044,-0.0149,0.6996
156,-0.308492,-0.0189992,0.658434,-0.3044,-0.0149,0.6996
157,-0.308458,-0.0189649,0.658779,-0.3044,-0.0149,0.6996
158,-0.308424,-0.0189307,0.659122,-0.3044,-0.0149,0.6996
159,-0.30839,-0.0188965,0.659465,-0.3044,-0.0149,0.6996
160,-0.308356,-0.0188625,0.659807,-0.3044,-0.0149,0.6996
161,-0.308323,-0.0188285,0.660148,-0.3044,-0.0149,0.6996
162,-0.308289,-0.0187946,0.660488,-0.3044,-0.0149,0.6996
163,-0.308255,-0.0187608,0.660828,-0.3044,-0.0149,0.6996
164,-0.308221,-0.018727,0.661167,-0.3044,-0.0149,0.6996
165,-0.308188,-0.0186933,0.661506,-0.3044,-0.0149,0.6996
166,-0.308154,-0.0186597,0.661844,-0.3044,-0.0149,0.6996
